,datatype,station,attributes,value
2022-12-22T00:00:00,TMAX,GHCND:CI000085469,",,S,",263
2022-12-22T00:00:00,TMAX,GHCND:CI000085488,",,S,",216
2022-12-22T00:00:00,TMAX,GHCND:CI000085629,",,S,",322
2022-12-22T00:00:00,TMAX,GHCND:CI000085874,",,S,",203
2022-12-22T00:00:00,TMAX,GHCND:CI000085934,",,S,",212
2022-12-22T00:00:00,TMAX,GHCND:CIM00085418,",,S,",239
2022-12-22T00:00:00,TMAX,GHCND:CIM00085574,",,S,",324
2022-12-22T00:00:00,TMAX,GHCND:CIM00085672,",,S,",285
2022-12-22T00:00:00,TMAX,GHCND:CIM00085766,",,S,",235
2022-12-22T00:00:00,TMAX,GHCND:CIM00085782,",,S,",246
2022-12-22T00:00:00,TMAX,GHCND:CIM00085864,",,S,",216
2022-12-23T00:00:00,TMAX,GHCND:CI000085442,",,S,",221
2022-12-23T00:00:00,TMAX,GHCND:CI000085469,",,S,",257
2022-12-23T00:00:00,TMAX,GHCND:CI000085629,",,S,",307
2022-12-23T00:00:00,TMAX,GHCND:CI000085799,",,S,",174
2022-12-23T00:00:00,TMAX,GHCND:CI000085934,",,S,",139
2022-12-23T00:00:00,TMAX,GHCND:CIM00085418,",,S,",241
2022-12-23T00:00:00,TMAX,GHCND:CIM00085574,",,S,",300
2022-12-23T00:00:00,TMAX,GHCND:CIM00085577,",,S,",304
2022-12-23T00:00:00,TMAX,GHCND:CIM00085766,",,S,",196
2022-12-23T00:00:00,TMAX,GHCND:CIM00085782,",,S,",200
2022-12-24T00:00:00,TMAX,GHCND:CI000085488,",,S,",216
2022-12-24T00:00:00,TMAX,GHCND:CIM00085418,",,S,",242
2022-12-25T00:00:00,TMAX,GHCND:CI000085488,",,S,",195
2022-12-25T00:00:00,TMAX,GHCND:CI000085629,",,S,",312
2022-12-25T00:00:00,TMAX,GHCND:CI000085934,",,S,",189
2022-12-25T00:00:00,TMAX,GHCND:CIM00085574,",,S,",323
2022-12-25T00:00:00,TMAX,GHCND:CIM00085577,",,S,",324
2022-12-26T00:00:00,TMAX,GHCND:CIM00085418,",,S,",251
2022-12-27T00:00:00,TMAX,GHCND:CI000085442,",,S,",224
2022-12-27T00:00:00,TMAX,GHCND:CI000085469,",,S,",272
2022-12-27T00:00:00,TMAX,GHCND:CI000085488,",,S,",223
2022-12-27T00:00:00,TMAX,GHCND:CI000085799,",,S,",201
2022-12-27T00:00:00,TMAX,GHCND:CI000085874,",,S,",193
2022-12-27T00:00:00,TMAX,GHCND:CI000085934,",,S,",126
2022-12-27T00:00:00,TMAX,GHCND:CIM00085418,",,S,",254
2022-12-27T00:00:00,TMAX,GHCND:CIM00085766,",,S,",245
2022-12-27T00:00:00,TMAX,GHCND:CIM00085782,",,S,",254
2022-12-27T00:00:00,TMAX,GHCND:CIM00085864,",,S,",202
2022-12-29T00:00:00,TMAX,GHCND:CI000085442,",,S,",214
2022-12-29T00:00:00,TMAX,GHCND:CI000085469,",,S,",276
2022-12-30T00:00:00,TMAX,GHCND:CI000085469,",,S,",271
2022-12-30T00:00:00,TMAX,GHCND:CI000085488,",,S,",193
2022-12-30T00:00:00,TMAX,GHCND:CI000085629,",,S,",356
2022-12-30T00:00:00,TMAX,GHCND:CI000085874,",,S,",185
2022-12-30T00:00:00,TMAX,GHCND:CI000085934,",,S,",130
2022-12-30T00:00:00,TMAX,GHCND:CIM00085574,",,S,",339
2022-12-30T00:00:00,TMAX,GHCND:CIM00085577,",,S,",344
2022-12-30T00:00:00,TMAX,GHCND:CIM00085672,",,S,",349
2022-12-30T00:00:00,TMAX,GHCND:CIM00085766,",,S,",276
2022-12-30T00:00:00,TMAX,GHCND:CIM00085782,",,S,",239
2022-12-30T00:00:00,TMAX,GHCND:CIM00085864,",,S,",198
2022-12-31T00:00:00,TMAX,GHCND:CI000085469,",,S,",272
2022-12-31T00:00:00,TMAX,GHCND:CI000085629,",,S,",299
2022-12-31T00:00:00,TMAX,GHCND:CI000085743,",,S,",288
2022-12-31T00:00:00,TMAX,GHCND:CI000085799,",,S,",217
2022-12-31T00:00:00,TMAX,GHCND:CIM00085418,",,S,",242
2022-12-31T00:00:00,TMAX,GHCND:CIM00085574,",,S,",286
2022-12-31T00:00:00,TMAX,GHCND:CIM00085577,",,S,",277
2022-12-31T00:00:00,TMAX,GHCND:CIM00085672,",,S,",339
2022-12-31T00:00:00,TMAX,GHCND:CIM00085766,",,S,",266
2022-12-31T00:00:00,TMAX,GHCND:CIM00085782,",,S,",241
2023-01-02T00:00:00,TMAX,GHCND:CI000085442,",,S,",210
2023-01-02T00:00:00,TMAX,GHCND:CI000085488,",,S,",236
2023-01-02T00:00:00,TMAX,GHCND:CI000085799,",,S,",185
2023-01-02T00:00:00,TMAX,GHCND:CI000085934,",,S,",149
